FIPS,GEOID,Rent00,Rent10,Rent15,Rent_ch00_10,Rent_ch10_15,Pop00,Pop10,Pop15,Pop_Ch00_10,Pop_Ch10_15,medinc_00,medinc_10,medinc_15,inc_ch00_10,inc_ch10_15,renter_00,renter_10,renter_15,renter00_10,renter10_15,own_0010,own_1015,coc_00,coc_10,coc_15,coc00_10,coc10_15,lowinc_00,lowinc_10,lowinc_15,lowinc_ch00_10,lowinc_ch10_15,af_00,per_af_00,af_10,per_af_10,af_15,per_af_15,af_ch_00_10,af_ch_10_15,MHV_00,MHV_10,MHV_15,App90_00,App00_10,App10_15,App90_10,App00_15,R_MHV00,R_MHV10,R_MHV15,NH,ZRI10,ZRI15,MHSP_2000,MHSP_2010,MHSP_2015,MHSP00_10,MHSP10_15
41051001202,41051001202,597,912,1053,0.528,0.155,2989,3110,3466,0.04,0.114,45773,73839,76055,0.613,0.03,0.395,0.335,0.373,-0.06,0.038,5.94,-0.038,0.127,0.166,0.144,0.038,-0.022,0.357,0.305,0.221,-0.052,-0.083,562,0.474,470,0.41,405,0.301,-0.164,-0.138,207400,436100,482300,1.559060638,1.634361233,0.105939005,1.102700096,1.325458052,1.338928341,1.493493151,1.634361233,Hosford-Abernethy,1466,2392,224353.3333,439767.1875,527253.3143,0.960154462,0.198937368
41051001301,41051001301,635,911,1031,0.435,0.132,3621,3890,4010,0.074,0.031,38146,45531,59129,0.194,0.299,0.639,0.643,0.579,0.004,-0.065,-0.43,0.064,0.106,0.116,0.203,0.01,0.088,0.441,0.45,0.472,0.009,0.022,1041,0.643,1020,0.585,724,0.458,-0.02,-0.29,175500,380200,402700,1.33999299,1.364622162,0.059179379,1.166381766,1.294586895,1.132989025,1.302054795,1.364622162,Sunnyside,1352,2197,196843.9231,314854.3958,473893.1818,0.599512908,0.505118519
41051001302,41051001302,659,1130,1210,0.715,0.071,2730,2954,3101,0.082,0.05,46146,61728,82770,0.338,0.341,0.349,0.344,0.281,-0.005,-0.063,0.53,0.063,0.153,0.106,0.139,-0.046,0.033,0.346,0.328,0.234,-0.018,-0.094,396,0.386,295,0.277,200,0.203,-0.255,-0.322,172200,388500,408600,1.290571328,1.384615385,0.051737452,1.256097561,1.3728223,1.111684958,1.330479452,1.384615385,Richmond,1302,2233,170444.5946,357399.3061,554034.4231,1.096865007,0.550183264
41051001400,41051001400,624,860,1004,0.378,0.167,4614,4403,5057,-0.046,0.149,45188,55559,72560,0.23,0.306,0.462,0.502,0.382,0.04,-0.12,-3.94,0.12,0.13,0.118,0.212,-0.012,0.093,0.38,0.315,0.4,-0.065,0.085,940,0.491,865,0.459,860,0.462,-0.08,-0.006,170100,390400,368200,1.272695408,1.24771264,-0.056864754,1.295120517,1.164609053,1.098127824,1.336986301,1.24771264,Richmond,1302,2233,176667.9494,320859.6667,484030.3594,0.816173606,0.508542237
41051001500,41051001500,698,792,980,0.135,0.237,3229,3278,3328,0.015,0.015,56694,75263,82321,0.328,0.094,0.245,0.246,0.256,0.001,0.01,-0.05,-0.01,0.097,0.091,0.08,-0.006,-0.011,0.272,0.318,0.272,0.046,-0.047,275,0.247,355,0.3,275,0.257,0.291,-0.225,193200,407200,431500,1.456361725,1.462216198,0.059675835,1.107660455,1.233436853,1.247256294,1.394520548,1.462216198,Mount Tabor,1412,2302,206791.5745,381411.6279,553024.4098,0.844425378,0.449941138
41051001601,41051001601,694,1051,1000,0.514,-0.049,6190,6068,5861,-0.02,-0.034,46563,52949,62216,0.137,0.175,0.367,0.373,0.35,0.006,-0.023,-0.59,0.023,0.203,0.233,0.179,0.029,-0.054,0.398,0.444,0.359,0.046,-0.085,856,0.441,760,0.375,625,0.291,-0.112,-0.178,167600,336400,354400,1.180511742,1.200948831,0.053507729,1.007159905,1.114558473,1.08198838,1.152054795,1.200948831,Mount Tabor,1412,2302,192084.8101,340461.4754,502088.1364,0.772453924,0.474728193
41051001602,41051001602,688,1083,1122,0.574,0.036,3967,4364,4663,0.1,0.069,39497,47926,42313,0.213,-0.117,0.29,0.259,0.376,-0.031,0.117,3.07,-0.117,0.251,0.362,0.474,0.11,0.112,0.472,0.514,0.452,0.042,-0.062,863,0.734,785,0.597,750,0.53,-0.09,-0.045,118000,204000,210000,0.705573081,0.711623179,0.029411765,0.728813559,0.779661017,0.761781795,0.698630137,0.711623179,Montavilla,1207,1557,119448.1613,178974.0244,261312.1071,0.498340556,0.46005605
41051001701,41051001701,625,794,946,0.27,0.191,6451,6377,6616,-0.011,0.037,37117,46439,60750,0.251,0.308,0.443,0.474,0.407,0.031,-0.067,-3.03,0.067,0.229,0.314,0.286,0.085,-0.028,0.464,0.501,0.351,0.037,-0.15,1541,0.666,1205,0.516,1050,0.423,-0.218,-0.129,132300,235400,268300,0.890991938,0.909183328,0.139762107,0.779289494,1.027966742,0.854099419,0.806164384,0.909183328,Montavilla,1207,1557,132275.7475,208380.1667,306139.0268,0.575346733,0.469137067
41051001702,41051001702,625,748,1075,0.197,0.437,4110,3904,4495,-0.05,0.151,38962,38639,49049,-0.008,0.269,0.431,0.497,0.515,0.066,0.018,-6.62,-0.018,0.233,0.287,0.338,0.054,0.051,0.489,0.576,0.525,0.086,-0.051,867,0.714,860,0.726,870,0.682,-0.008,0.012,127000,214600,205200,0.672625307,0.695357506,-0.043802423,0.68976378,0.615748031,0.819883796,0.734931507,0.695357506,Montavilla,1207,1557,124602.2571,179527.6316,266734.0941,0.440805614,0.485755099
41051001801,41051001801,598,781,834,0.306,0.068,3482,4545,4427,0.305,-0.026,35163,47535,48281,0.352,0.016,0.6,0.656,0.559,0.056,-0.097,-5.6,0.097,0.169,0.227,0.224,0.059,-0.003,0.5,0.582,0.46,0.082,-0.123,1016,0.71,1255,0.703,1085,0.577,0.235,-0.135,147800,288200,285400,0.954433929,0.967129787,-0.009715475,0.949932341,0.930987821,0.954163977,0.986986301,0.967129787,North Tabor,1267,1831,146072.9167,269213.0263,381915.2034,0.843004388,0.418635675
